"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 14:18:16 BRT 2026","Wed Jul 15 14:18:16 BRT 2026","76","Cypress APIs","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Wed Jul 15 14:17:54 BRT 2026","Wed Jul 15 14:17:56 BRT 2026","1809","Actions","","","","",".click() - click on a DOM element",""
"passed","Wed Jul 15 14:18:29 BRT 2026","Wed Jul 15 14:18:30 BRT 2026","464","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Wed Jul 15 14:17:57 BRT 2026","Wed Jul 15 14:17:58 BRT 2026","745","Actions","","","","",".uncheck() - uncheck a checkbox element",""
"passed","Wed Jul 15 14:17:59 BRT 2026","Wed Jul 15 14:18:01 BRT 2026","2095","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Wed Jul 15 14:19:01 BRT 2026","Wed Jul 15 14:19:01 BRT 2026","86","Window","","","","","cy.document() - get the document object",""
"passed","Wed Jul 15 14:18:10 BRT 2026","Wed Jul 15 14:18:10 BRT 2026","79","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Wed Jul 15 14:17:47 BRT 2026","Wed Jul 15 14:17:47 BRT 2026","241","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Wed Jul 15 14:17:53 BRT 2026","Wed Jul 15 14:17:53 BRT 2026","477","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Wed Jul 15 14:17:56 BRT 2026","Wed Jul 15 14:17:56 BRT 2026","157","Actions","","","","",".rightclick() - right click on a DOM element",""
"passed","Wed Jul 15 14:18:18 BRT 2026","Wed Jul 15 14:18:18 BRT 2026","86","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Wed Jul 15 14:18:22 BRT 2026","Wed Jul 15 14:18:22 BRT 2026","244","Misc","","","","","cy.exec() - execute a system command",""
"passed","Wed Jul 15 14:18:40 BRT 2026","Wed Jul 15 14:18:41 BRT 2026","163","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Wed Jul 15 14:18:03 BRT 2026","Wed Jul 15 14:18:03 BRT 2026","676","Aliasing","","","","",".as() - alias a route for later use",""
"passed","Wed Jul 15 14:18:38 BRT 2026","Wed Jul 15 14:18:38 BRT 2026","17","Spies, Stubs, and Clock","","","","","matches call arguments using Sinon matchers",""
"passed","Wed Jul 15 14:18:44 BRT 2026","Wed Jul 15 14:18:44 BRT 2026","80","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Wed Jul 15 14:18:30 BRT 2026","Wed Jul 15 14:18:31 BRT 2026","659","Network Requests","","","","","cy.intercept() - route responses to matching requests",""
"passed","Wed Jul 15 14:17:56 BRT 2026","Wed Jul 15 14:17:57 BRT 2026","750","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Wed Jul 15 14:18:10 BRT 2026","Wed Jul 15 14:18:10 BRT 2026","81","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Wed Jul 15 14:18:43 BRT 2026","Wed Jul 15 14:18:43 BRT 2026","87","Traversal","","","","",".filter() - get DOM elements that match the selector",""
