"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","410",".submit() - submit a form","Actions","2026-07-25","passed","2026-07-25","","","",""
"","142",".find() - get descendant DOM elements of the selector","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","26","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-07-25","passed","2026-07-25","","","",""
"","138",".filter() - get DOM elements that match the selector","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","150","cy.location() - get window.location","Location","2026-07-25","passed","2026-07-25","","","",""
"","404",".as() - alias a DOM element for later use","Aliasing","2026-07-25","passed","2026-07-25","","","",""
"","280","cy.wait() - wait for a specific route","Waiting","2026-07-25","passed","2026-07-25","","","",""
"","127",".last() - get last DOM element","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","146",".and() - chain multiple assertions together","Assertions","2026-07-25","passed","2026-07-25","","Implicit Assertions","",""
"","321","cy.request() with query parameters","Network Requests","2026-07-25","passed","2026-07-25","","","",""
"","126",".prev() - get previous sibling DOM element","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","299","cy.request() - save response in the shared test context","Network Requests","2026-07-25","passed","2026-07-25","","","",""
"","508","displays two todo items by default","example to-do app","2026-07-25","passed","2026-07-25","","","",""
"","366","can delete all completed tasks","example to-do app","2026-07-25","passed","2026-07-25","","with a checked task","",""
"","201","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-07-25","passed","2026-07-25","","","",""
"","163","Control what is printed to the Command Log","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.log","",""
"","3762",".type() - type into a DOM element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","374","cy.focused() - get the DOM element that has focus","Misc","2026-07-25","passed","2026-07-25","","","",""
"","144",".its() - get properties on the current subject","Connectors","2026-07-25","passed","2026-07-25","","","",""
"","323",".should() - make an assertion about the current subject","Assertions","2026-07-25","passed","2026-07-25","","Implicit Assertions","",""
"","985","cy.screenshot() - take a screenshot","Misc","2026-07-25","passed","2026-07-25","","Cypress.Screenshot","",""
"","229","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-07-25","passed","2026-07-25","","","",""
"","282","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-07-25","passed","2026-07-25","","","",""
"","471","cy.visit() - visit a remote url","Navigation","2026-07-25","passed","2026-07-25","","","",""
"","430",".blur() - blur off a DOM element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","173",".focus() - focus on a DOM element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","2164","cy.scrollTo() - scroll the window or element to a position","Actions","2026-07-25","passed","2026-07-25","","","",""
"","245","cy.clearCookie() - clear a browser cookie","Cookies","2026-07-25","passed","2026-07-25","","","",""
"","139","cy.fixture() or require - load a fixture","Files","2026-07-25","passed","2026-07-25","","","",""
"","224","Cypress.$ - call a jQuery method","Utilities","2026-07-25","passed","2026-07-25","","","",""
"","139","cy.url() - get the current URL","Location","2026-07-25","passed","2026-07-25","","","",""
"","223",".rightclick() - right click on a DOM element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","167","cy.contains() - query DOM elements with matching content","Querying","2026-07-25","passed","2026-07-25","","","",""
"","254","can check off an item as completed","example to-do app","2026-07-25","passed","2026-07-25","","","",""
"","125","assert - assert shape of an object","Assertions","2026-07-25","passed","2026-07-25","","Explicit Assertions","",""
"","210","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-07-25","passed","2026-07-25","","","",""
"","149","invokes a callback function with the current subject","Connectors","2026-07-25","passed","2026-07-25","",".then()","",""
"","129","cy.title() - get the title","Window","2026-07-25","passed","2026-07-25","","","",""
"","124","can throw any error","Assertions","2026-07-25","passed","2026-07-25","","Explicit Assertions","",""
"","4529","cy.wait() - wait for a specific amount of time","Waiting","2026-07-25","passed","2026-07-25","","","",""
"","241",".add() - create a custom command","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.Commands","",""
"","146",".closest() - get closest ancestor DOM element","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","125",".first() - get first DOM element","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","126",".siblings() - get all sibling DOM elements","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","134",".next() - get next sibling DOM element","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","1586","retries the should callback until assertions pass","Assertions","2026-07-25","passed","2026-07-25","","Explicit Assertions","",""
"","991","cy.exec() - execute a system command","Misc","2026-07-25","passed","2026-07-25","","","",""
"","383","cy.request() - pass result to the second request","Network Requests","2026-07-25","passed","2026-07-25","","","",""
"","136","cy.root() - query the root DOM element","Querying","2026-07-25","passed","2026-07-25","","","",""
"","554","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-07-25","passed","2026-07-25","","","",""
"","358","cy.getCookie() - get a browser cookie","Cookies","2026-07-25","passed","2026-07-25","","","",""
"","534",".clear() - clears an input or textarea element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","136","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-07-25","passed","2026-07-25","","","",""
"","2855","cy.viewport() - set the viewport size and dimension","Viewport","2026-07-25","passed","2026-07-25","","","",""
"","200",".not() - remove DOM elements from set of DOM elements","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","20","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-07-25","passed","2026-07-25","","","",""
"","374","cy.fixture() - load a fixture","Files","2026-07-25","passed","2026-07-25","","","",""
"","125","yields the original subject without return","Connectors","2026-07-25","passed","2026-07-25","",".then()","",""
"","169",".trigger() - trigger an event on a DOM element","Actions","2026-07-25","passed","2026-07-25","","","",""
"","148",".eq() - get a DOM element at a specific index","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","119",".prevAll() - get all previous sibling DOM elements","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","123","Get current spec information","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.spec","",""
"","125",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-07-25","passed","2026-07-25","","","",""
"","146",".invoke() - invoke a function on the current subject","Connectors","2026-07-25","passed","2026-07-25","","","",""
"","138","cy.wrap() - wrap an object","Misc","2026-07-25","passed","2026-07-25","","","",""
"","126","yields the value yielded by the last Cypress command inside","Connectors","2026-07-25","passed","2026-07-25","",".then()","",""
"","154","Get CPU architecture name of underlying OS","Cypress APIs","2026-07-25","passed","2026-07-25","","Cypress.arch","",""
"","239","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-07-25","passed","2026-07-25","","","",""
"","144",".parent() - get parent DOM element from DOM elements","Traversal","2026-07-25","passed","2026-07-25","","","",""
